足球[足球],zu2qiu2,N. (sport) football; soccer
得[得],de5,INF. (used in r.v.)  S.P. (used to link a verb and the manner clause that follows it)  CMP. (potential complement)
好[好],hao3,"S.V. good  ADV. 1 very 2 easy to  PREF. good to  SUF. (indicating completion)  CONJ. so as to; so that  V. , topo. may; can; should"
差[差],cha4,S.V. 1 inferior; poor 2 wrong; false  V. differ (by); be short; lack  CMP. v. wrong(ly)
骑[騎],qi2,V. ride/sit astride  B.F. cavalry; cavalryman
快[快],kuai4,S.V.  | ADV. 1 fast; quick 2 soon 3 quick-witted; ingenious 4 sharp (of knives) 5 straightforward 6 pleased; elated
慢[慢],man4,"S.V. slow  B.F. supercilious; rude  V. postpone; defer  N. , wr. variant pattern of ¹cí and ³qǔ"
自行车[自行車],zi4xing2che1,N. bicycle; bike M: ³liàng / 辆
// HelloChinese/Spare Time,,
在[在],zai4,V. 1 be at/in/on 2 exist; live 3 depend on; rest with  ADV. (indicating an action in progress)  COV. in; at; on; etc.  CONS. 1 ∼ A (zhī)zhōng in (the midst/process of) A 2 ∼ A kàn(lai) as A sees it; in A's opinion
正在[正在],zheng4zai4,V.P. be in the process/course of; exactly at (a position/etc.)
